,lambd,p,k,k_mu
0,0.375,64,64,58
1,0.375,64,64,23
2,0.375,64,23,20
3,0.375,64,4,2
4,0.375,64,32,4
5,0.375,64,36,22
6,0.375,64,19,8
7,0.375,64,64,51
8,0.375,64,7,5
9,0.375,64,64,15
10,0.375,64,35,15
11,0.375,64,64,29
12,0.375,64,64,17
13,0.375,64,64,58
14,0.375,64,21,18
15,0.375,64,64,25
16,0.375,64,64,25
17,0.375,64,46,39
18,0.375,64,16,5
19,0.375,64,13,3
20,0.375,64,23,8
21,0.375,64,39,23
22,0.375,64,23,4
23,0.375,64,45,17
24,0.375,64,23,14
25,0.375,64,26,11
26,0.375,64,64,27
27,0.375,64,13,6
28,0.375,64,64,5
29,0.375,64,64,35
30,0.375,64,35,26
31,0.375,64,56,17
32,0.375,64,64,36
33,0.375,64,64,46
34,0.375,64,18,11
35,0.375,64,20,8
36,0.375,64,10,4
37,0.375,64,8,3
38,0.375,64,64,4
39,0.375,64,64,63
40,0.375,64,64,7
41,0.375,64,46,14
42,0.375,64,58,40
43,0.375,64,64,31
44,0.375,64,64,14
45,0.375,64,34,12
46,0.375,64,27,21
47,0.375,64,64,37
48,0.375,64,33,3
49,0.375,64,14,9
50,0.375,64,40,21
51,0.375,64,41,19
52,0.375,64,14,4
53,0.375,64,35,16
54,0.375,64,64,56
55,0.375,64,31,13
56,0.375,64,24,10
57,0.375,64,45,10
58,0.375,64,63,24
59,0.375,64,31,21
60,0.375,64,29,19
61,0.375,64,49,30
62,0.375,64,28,4
63,0.375,64,45,22
64,0.375,64,64,32
65,0.375,64,64,37
66,0.375,64,64,64
67,0.375,64,21,7
68,0.375,64,18,9
69,0.375,64,9,5
70,0.375,64,14,8
71,0.375,64,48,12
72,0.375,64,10,3
73,0.375,64,64,38
74,0.375,64,64,23
75,0.375,64,44,31
76,0.375,64,64,62
77,0.375,64,11,4
78,0.375,64,37,22
79,0.375,64,44,28
80,0.375,64,64,53
81,0.375,64,64,50
82,0.375,64,20,10
83,0.375,64,27,18
84,0.375,64,64,43
85,0.375,64,51,12
86,0.375,64,33,7
87,0.375,64,9,4
88,0.375,64,35,7
89,0.375,64,64,44
90,0.375,64,15,10
91,0.375,64,16,8
92,0.375,64,39,11
93,0.375,64,51,21
94,0.375,64,64,61
95,0.375,64,64,50
96,0.375,64,64,41
97,0.375,64,23,12
98,0.375,64,64,37
99,0.375,64,64,29
100,0.375,64,64,24
101,0.375,64,29,9
102,0.375,64,64,58
103,0.375,64,18,7
104,0.375,64,32,10
105,0.375,64,31,13
106,0.375,64,35,13
107,0.375,64,64,19
108,0.375,64,15,11
109,0.375,64,39,14
110,0.375,64,64,25
111,0.375,64,64,15
112,0.375,64,18,11
113,0.375,64,64,23
114,0.375,64,64,60
115,0.375,64,64,36
116,0.375,64,29,14
117,0.375,64,16,6
118,0.375,64,28,20
119,0.375,64,64,44
120,0.375,64,64,64
121,0.375,64,64,44
122,0.375,64,64,16
123,0.375,64,64,49
124,0.375,64,28,15
125,0.375,64,50,26
126,0.375,64,64,31
127,0.375,64,64,42
128,0.375,64,48,30
129,0.375,64,64,39
130,0.375,64,64,17
131,0.375,64,42,25
132,0.375,64,12,6
133,0.375,64,64,52
134,0.375,64,64,27
135,0.375,64,64,57
136,0.375,64,64,26
137,0.375,64,16,6
138,0.375,64,64,14
139,0.375,64,16,5
140,0.375,64,31,14
141,0.375,64,64,24
142,0.375,64,32,17
143,0.375,64,18,14
144,0.375,64,29,19
145,0.375,64,64,20
146,0.375,64,64,35
147,0.375,64,8,5
148,0.375,64,40,22
149,0.375,64,64,55
150,0.375,64,64,11
151,0.375,64,24,14
152,0.375,64,64,32
153,0.375,64,3,2
154,0.375,64,64,47
155,0.375,64,64,6
156,0.375,64,14,6
157,0.375,64,12,5
158,0.375,64,25,9
159,0.375,64,64,62
160,0.375,64,14,4
161,0.375,64,40,12
162,0.375,64,64,22
163,0.375,64,64,40
164,0.375,64,23,5
165,0.375,64,64,49
166,0.375,64,46,34
167,0.375,64,64,55
168,0.375,64,64,18
169,0.375,64,5,2
170,0.375,64,64,53
171,0.375,64,6,4
172,0.375,64,64,30
173,0.375,64,64,6
174,0.375,64,64,38
175,0.375,64,57,5
176,0.375,64,10,5
177,0.375,64,40,5
178,0.375,64,64,52
179,0.375,64,19,12
180,0.375,64,64,57
181,0.375,64,37,14
182,0.375,64,11,10
183,0.375,64,23,7
184,0.375,64,64,34
185,0.375,64,64,59
186,0.375,64,12,3
187,0.375,64,64,36
188,0.375,64,20,11
189,0.375,64,15,6
190,0.375,64,35,24
191,0.375,64,38,7
192,0.375,64,59,23
193,0.375,64,64,32
194,0.375,64,13,7
195,0.375,64,64,54
196,0.375,64,19,9
197,0.375,64,16,5
198,0.375,64,8,2
199,0.375,64,32,15
200,0.375,64,56,15
201,0.375,64,64,35
202,0.375,64,34,11
203,0.375,64,64,51
204,0.375,64,46,37
205,0.375,64,60,17
206,0.375,64,28,18
207,0.375,64,64,55
208,0.375,64,56,8
209,0.375,64,28,13
210,0.375,64,43,10
211,0.375,64,17,11
212,0.375,64,64,42
213,0.375,64,64,22
214,0.375,64,60,27
215,0.375,64,40,17
216,0.375,64,64,59
217,0.375,64,64,28
218,0.375,64,64,17
219,0.375,64,27,14
220,0.375,64,64,49
221,0.375,64,29,13
222,0.375,64,64,52
223,0.375,64,11,3
224,0.375,64,12,4
225,0.375,64,64,16
226,0.375,64,64,10
227,0.375,64,59,14
228,0.375,64,16,7
229,0.375,64,29,14
230,0.375,64,64,64
231,0.375,64,56,10
232,0.375,64,26,13
233,0.375,64,63,31
234,0.375,64,64,63
235,0.375,64,58,28
236,0.375,64,64,12
237,0.375,64,64,29
238,0.375,64,23,7
239,0.375,64,64,14
240,0.375,64,64,41
241,0.375,64,64,48
242,0.375,64,33,5
243,0.375,64,51,9
244,0.375,64,22,13
245,0.375,64,64,35
246,0.375,64,30,22
247,0.375,64,64,36
248,0.375,64,11,9
249,0.375,64,32,12
