,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,1.0,64,16,395,379,107,379,107,1.0,1.0,1.0,1.0
1,1.0,64,16,838,837,570,837,570,1.0,1.0,1.0,1.0
2,1.0,64,16,873,873,781,873,781,1.0,1.0,1.0,1.0
3,1.0,64,16,2,2,530,2,530,1.0,1.0,1.0,1.0
4,1.0,64,16,534,534,907,534,907,1.0,1.0,1.0,1.0
5,1.0,64,16,269,269,851,269,851,1.0,1.0,1.0,1.0
6,1.0,64,16,885,893,920,893,920,1.0,1.0,1.0,1.0
7,1.0,64,16,590,681,781,681,781,1.0,1.0,1.0,1.0
8,1.0,64,16,133,133,399,133,399,1.0,1.0,1.0,1.0
9,1.0,64,16,280,280,745,280,745,1.0,1.0,1.0,1.0
10,1.0,64,16,211,314,907,314,907,1.0,1.0,1.0,1.0
11,1.0,64,16,464,512,22,512,22,1.0,1.0,1.0,1.0
12,1.0,64,16,800,492,454,492,454,1.0,1.0,1.0,1.0
13,1.0,64,16,66,68,611,68,611,1.0,1.0,1.0,1.0
14,1.0,64,16,587,103,907,103,907,1.0,1.0,1.0,1.0
15,1.0,64,16,975,657,851,657,851,1.0,1.0,1.0,1.0
16,1.0,64,16,889,851,683,851,683,1.0,1.0,1.0,1.0
17,1.0,64,16,774,111,918,111,918,1.0,1.0,1.0,1.0
18,1.0,64,16,138,138,741,138,741,1.0,1.0,1.0,1.0
19,1.0,64,16,956,956,107,956,107,1.0,1.0,1.0,1.0
20,1.0,64,16,569,569,475,569,475,1.0,1.0,1.0,1.0
21,1.0,64,16,214,214,295,214,295,1.0,1.0,1.0,1.0
22,1.0,64,16,97,97,851,97,851,1.0,1.0,1.0,1.0
23,1.0,64,16,919,919,851,919,851,1.0,1.0,1.0,1.0
24,1.0,64,16,213,213,907,213,907,1.0,1.0,1.0,1.0
25,1.0,64,16,233,233,886,233,886,1.0,1.0,1.0,1.0
26,1.0,64,16,489,489,107,489,107,1.0,1.0,1.0,1.0
27,1.0,64,16,465,490,399,490,399,1.0,1.0,1.0,1.0
28,1.0,64,16,118,118,865,118,865,1.0,1.0,1.0,1.0
29,1.0,64,16,675,111,851,111,851,1.0,1.0,1.0,1.0
30,1.0,64,16,327,107,886,107,886,1.0,1.0,1.0,1.0
31,1.0,64,16,784,451,907,451,907,1.0,1.0,1.0,1.0
32,1.0,64,16,190,760,904,760,904,1.0,1.0,1.0,1.0
33,1.0,64,16,545,545,579,545,579,1.0,1.0,1.0,1.0
34,1.0,64,16,506,506,608,506,608,1.0,1.0,1.0,1.0
35,1.0,64,16,480,480,707,480,707,1.0,1.0,1.0,1.0
36,1.0,64,16,133,15,103,15,103,1.0,1.0,1.0,1.0
37,1.0,64,16,886,886,886,886,886,1.0,1.0,1.0,1.0
38,1.0,64,16,967,762,454,762,454,1.0,1.0,1.0,1.0
39,1.0,64,16,643,684,907,684,907,1.0,1.0,1.0,1.0
40,1.0,64,16,562,111,851,111,851,1.0,1.0,1.0,1.0
41,1.0,64,16,396,396,295,396,295,1.0,1.0,1.0,1.0
42,1.0,64,16,570,570,570,570,570,1.0,1.0,1.0,1.0
43,1.0,64,16,690,126,498,126,498,1.0,1.0,1.0,1.0
44,1.0,64,16,902,111,918,111,918,1.0,1.0,1.0,1.0
45,1.0,64,16,5,34,598,34,598,1.0,1.0,1.0,1.0
46,1.0,64,16,914,814,918,814,918,1.0,1.0,1.0,1.0
47,1.0,64,16,801,983,851,983,851,1.0,1.0,1.0,1.0
48,1.0,64,16,149,107,107,107,107,1.0,1.0,1.0,1.0
49,1.0,64,16,828,577,607,577,607,1.0,1.0,1.0,1.0
50,1.0,64,16,965,21,107,21,107,1.0,1.0,1.0,1.0
51,1.0,64,16,902,845,772,845,772,1.0,1.0,1.0,1.0
52,1.0,64,16,962,962,530,962,530,1.0,1.0,1.0,1.0
53,1.0,64,16,599,735,886,735,886,1.0,1.0,1.0,1.0
54,1.0,64,16,654,609,851,609,851,1.0,1.0,1.0,1.0
55,1.0,64,16,709,687,454,687,454,1.0,1.0,1.0,1.0
56,1.0,64,16,532,532,851,532,851,1.0,1.0,1.0,1.0
57,1.0,64,16,706,762,608,762,608,1.0,1.0,1.0,1.0
58,1.0,64,16,975,975,851,975,851,1.0,1.0,1.0,1.0
59,1.0,64,16,933,923,711,923,711,1.0,1.0,1.0,1.0
60,1.0,64,16,171,195,667,195,667,1.0,1.0,1.0,1.0
61,1.0,64,16,597,758,776,758,776,1.0,1.0,1.0,1.0
62,1.0,64,16,528,528,637,528,637,1.0,1.0,1.0,1.0
63,1.0,64,16,752,776,546,776,546,1.0,1.0,1.0,1.0
64,1.0,64,16,269,269,495,269,495,1.0,1.0,1.0,1.0
65,1.0,64,16,282,599,107,599,107,1.0,1.0,1.0,1.0
66,1.0,64,16,799,707,685,707,685,1.0,1.0,1.0,1.0
67,1.0,64,16,289,289,399,289,399,1.0,1.0,1.0,1.0
68,1.0,64,16,942,950,440,950,440,1.0,1.0,1.0,1.0
69,1.0,64,16,937,937,107,937,107,1.0,1.0,1.0,1.0
70,1.0,64,16,924,924,107,924,107,1.0,1.0,1.0,1.0
71,1.0,64,16,705,547,707,547,707,1.0,1.0,1.0,1.0
72,1.0,64,16,202,202,334,202,334,1.0,1.0,1.0,1.0
73,1.0,64,16,618,728,851,728,851,1.0,1.0,1.0,1.0
74,1.0,64,16,278,272,440,272,440,1.0,1.0,1.0,1.0
75,1.0,64,16,583,21,904,21,904,1.0,1.0,1.0,1.0
76,1.0,64,16,419,419,920,419,920,1.0,1.0,1.0,1.0
77,1.0,64,16,84,84,107,84,107,1.0,1.0,1.0,1.0
78,1.0,64,16,688,688,750,688,750,1.0,1.0,1.0,1.0
79,1.0,64,16,351,350,904,350,904,1.0,1.0,1.0,1.0
80,1.0,64,16,806,806,776,806,776,1.0,1.0,1.0,1.0
81,1.0,64,16,884,23,579,23,579,1.0,1.0,1.0,1.0
82,1.0,64,16,145,145,904,145,904,1.0,1.0,1.0,1.0
83,1.0,64,16,335,15,583,15,583,1.0,1.0,1.0,1.0
84,1.0,64,16,633,486,707,486,707,1.0,1.0,1.0,1.0
85,1.0,64,16,360,137,851,137,851,1.0,1.0,1.0,1.0
86,1.0,64,16,715,23,508,23,508,1.0,1.0,1.0,1.0
87,1.0,64,16,78,78,399,78,399,1.0,1.0,1.0,1.0
88,1.0,64,16,935,964,750,964,750,1.0,1.0,1.0,1.0
89,1.0,64,16,171,180,107,180,107,1.0,1.0,1.0,1.0
90,1.0,64,16,603,444,540,444,540,1.0,1.0,1.0,1.0
91,1.0,64,16,389,389,886,389,886,1.0,1.0,1.0,1.0
92,1.0,64,16,370,370,295,370,295,1.0,1.0,1.0,1.0
